Temperature,pH,TDS,Turbidity,DO,Heavy_Metal_Concentration,Bacterial_Contamination
19.36350297118406,6.462832322096549,335.53511536231537,6.890678444984531,7.431975269701557,0.0084790748852714,0
33.767857660247905,7.3547523684458955,322.2809191647998,8.068473273318038,8.832593975799918,0.009995277528125408,0
28.299848545285126,8.182364589691021,915.629122468933,2.8794450385287402,8.560965578740955,0.017236400470841427,0
24.966462104925917,7.830562216023903,324.59157986455546,6.43630394626649,4.923399428162642,0.0074600833351379505,0
13.900466011060914,8.016402869653625,344.7547535157679,5.931586839865613,4.895496818448843,0.017523344011431255,0
13.899863008405067,7.646958416776793,783.4584361761673,8.411888579488576,5.60904620646948,0.002674554188557138,0
11.452090304204987,7.730691411294631,504.765858205486,9.107827074571976,6.166448358046223,0.015759170306963985,1
31.654403644373378,8.122989128913298,799.0395012596631,0.6154893290351746,6.450733488450895,0.017103405028039993,1
25.02787529358022,6.624170022147965,158.82954180794673,6.90318923105853,8.078183301000072,0.004454535403909436,0
27.70181444490114,7.223562409107851,538.8140743060459,0.9924400916374256,4.340082592995012,0.009176584115071808,0
10.51461235739506,6.553023604549006,130.25224016495437,5.714157318234881,4.208036225356398,0.0041444957186094564,0
34.247746304049855,8.469170019991617,156.3878831098191,3.232510925914943,6.351463377663454,0.014425478450890136,0
30.811066020010543,8.360148349216534,915.7937080099698,3.4143776954603413,8.182982152827883,0.011171607593171477,1
15.308477766956905,6.0985670284212645,225.32083400583565,3.8531057827973876,5.160612057738895,0.0130711435874581,1
14.545624180177516,7.763937931289221,579.1786140476954,6.4022782659712965,7.84902688753751,0.004733252372168012,0
14.585112746335845,8.313120793539165,469.9860423406359,3.6734746738533075,5.558968827641797,0.005023171378995971,1
17.60605607398844,6.451438362818334,412.6089936329584,7.460640980607664,9.316516652881099,0.001788449184688221,1
23.11891079080595,7.419863076381573,909.8500111185452,4.343010162951762,9.3741396655997,0.007119283168718865,0
20.798625466052894,8.288720743970105,119.64105709794055,1.149355402944607,5.783723225687959,0.011635148565339825,0
17.28072850495105,6.0848649464644975,697.4107175580302,7.945718503599019,5.379962523779443,0.017300763365949247,0
25.296322368059485,7.7435506681171,967.0549907921953,3.214704083630707,6.467823832397388,0.013671621501714932,0
13.487346516301045,6.743372518431377,604.1513651156578,4.611285356192995,5.4431895110808926,0.009272530144595278,1
17.303616213380455,8.310990488441327,943.1402158297826,7.0117168906080645,8.034303059750222,0.019109282173488618,0
19.159046082342293,8.42764561291342,147.0320913574214,3.658333492912764,8.956388107289714,0.014665658810940806,1
21.4017496054259,8.360666222783586,476.91398716674524,1.0375637333937984,8.038552785467303,0.01867313885438845,0
29.62939903482534,7.1855355416436595,334.14201186584603,4.052249946621729,8.946102683496097,0.011024171492171147,1
